level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,4,2,1,2,0,139,274,258,20,-1,
5,4,2,1,2,1,139,274,134,19,92.683083,product_no
5,4,2,1,2,2,295,274,102,20,85.183037,integer
5,4,2,1,2,3,386,270,15,28,85.183037,,
4,4,2,1,3,0,137,302,133,16,-1,
5,4,2,1,3,1,137,305,53,10,96.751518,name
5,4,2,1,3,2,209,302,61,16,96.685181,text,
4,4,2,1,4,0,141,325,427,23,-1,
5,4,2,1,4,1,141,327,60,19,95.520149,price
5,4,2,1,4,2,223,327,93,15,96.477539,numeric
5,4,2,1,4,3,332,326,71,16,96.184860,CHECK
5,4,2,1,4,4,422,325,75,23,96.184860,(price
5,4,2,1,4,5,515,330,14,13,96.671120,>
5,4,2,1,4,6,548,325,20,23,95.879242,0)
2,4,3,0,0,0,83,351,18,23,-1,
3,4,3,1,0,0,83,351,18,23,-1,
4,4,3,1,1,0,83,351,18,23,-1,
5,4,3,1,1,1,83,351,18,23,29.858208,);
2,4,4,0,0,0,79,509,719,64,-1,
3,4,4,1,0,0,79,509,719,64,-1,
4,4,4,1,1,0,80,509,424,27,-1,
5,4,4,1,1,1,80,509,81,21,93.186050,Credit:
5,4,4,1,1,2,180,509,125,27,72.037811,Postgresql
5,4,4,1,1,3,318,509,186,21,96.621452,documentation
4,4,4,1,2,0,79,550,719,23,-1,
5,4,4,1,2,1,79,552,73,21,36.180054,https:
5,4,4,1,2,2,159,550,639,23,36.180054,//www.postgresql.org/docs/11/ddl-constraints.html
1,5,0,0,0,0,0,0,1008,756,-1,
2,5,1,0,0,0,892,0,116,110,-1,
3,5,1,1,0,0,892,0,116,110,-1,
4,5,1,1,1,0,892,0,116,110,-1,
5,5,1,1,1,1,892,0,116,110,95.000000, 
2,5,2,0,0,0,79,238,659,128,-1,
3,5,2,1,0,0,79,238,659,128,-1,
4,5,2,1,1,0,79,238,320,23,-1,
5,5,2,1,1,1,79,239,84,16,95.939301,CREATE
5,5,2,1,1,2,177,240,71,15,95.939301,TABLE
5,5,2,1,1,3,267,240,104,19,92.058220,products
5,5,2,1,1,4,393,238,6,23,92.058220,(
4,5,2,1,2,0,139,266,258,20,-1,
5,5,2,1,2,1,139,266,134,19,92.683083,product_no
5,5,2,1,2,2,295,266,102,20,85.183037,integer
5,5,2,1,2,3,386,262,15,28,85.183037,,
4,5,2,1,3,0,137,295,133,16,-1,
5,5,2,1,3,1,137,298,53,10,96.751518,name
5,5,2,1,3,2,209,295,61,16,96.685181,text,
4,5,2,1,4,0,141,319,175,19,-1,
5,5,2,1,4,1,141,319,60,19,96.258743,price
5,5,2,1,4,2,223,319,93,15,95.958458,numeric
4,5,2,1,5,0,135,343,603,23,-1,
5,5,2,1,5,1,135,344,141,17,93.163429,CONSTRAINT
5,5,2,1,5,2,296,345,187,19,91.573357,positive_price
5,5,2,1,5,3,502,344,71,16,96.528862,CHECK
5,5,2,1,5,4,591,343,76,23,96.528862,(price
5,5,2,1,5,5,685,348,14,13,95.254875,>
5,5,2,1,5,6,717,343,21,23,96.933357,0)
2,5,3,0,0,0,83,370,18,23,-1,
3,5,3,1,0,0,83,370,18,23,-1,
4,5,3,1,1,0,83,370,18,23,-1,
5,5,3,1,1,1,83,370,18,23,29.858208,);
2,5,4,0,0,0,79,520,719,65,-1,
3,5,4,1,0,0,79,520,719,65,-1,
4,5,4,1,1,0,80,520,424,27,-1,
5,5,4,1,1,1,80,520,81,21,93.186050,Credit:
5,5,4,1,1,2,180,520,125,27,72.037811,Postgresql
5,5,4,1,1,3,318,520,186,21,96.621452,documentation
4,5,4,1,2,0,79,562,719,23,-1,
5,5,4,1,2,1,79,564,73,21,36.180054,https:
5,5,4,1,2,2,159,562,639,23,36.180054,//www.postgresql.org/docs/11/ddl-constraints.html
1,6,0,0,0,0,0,0,1008,756,-1,
2,6,1,0,0,0,892,0,116,110,-1,
3,6,1,1,0,0,892,0,116,110,-1,
4,6,1,1,1,0,892,0,116,110,-1,
5,6,1,1,1,1,892,0,116,110,95.000000, 
2,6,2,0,0,0,79,231,489,126,-1,
3,6,2,1,0,0,79,231,489,126,-1,
4,6,2,1,1,0,79,231,320,23,-1,
5,6,2,1,1,1,79,232,84,16,95.939301,CREATE
5,6,2,1,1,2,177,233,71,15,95.939301,TABLE
5,6,2,1,1,3,267,233,104,19,92.058220,products
5,6,2,1,1,4,393,231,6,23,92.058220,(
4,6,2,1,2,0,139,259,258,20,-1,
5,6,2,1,2,1,139,259,134,19,92.683083,product_no
5,6,2,1,2,2,295,259,102,20,85.183037,integer
5,6,2,1,2,3,386,255,15,28,85.183037,,
4,6,2,1,3,0,137,287,133,16,-1,
5,6,2,1,3,1,137,290,53,10,96.751518,name
5,6,2,1,3,2,209,287,61,16,96.685181,text,
4,6,2,1,4,0,141,310,427,23,-1,
5,6,2,1,4,1,141,312,60,19,95.593521,price
5,6,2,1,4,2,223,312,93,15,96.372452,numeric
5,6,2,1,4,3,332,311,71,16,96.190254,CHECK
5,6,2,1,4,4,422,310,75,23,96.190254,(price
5,6,2,1,4,5,515,315,14,13,96.837242,>
5,6,2,1,4,6,548,310,20,23,95.930946,0)
4,6,2,1,5,0,139,337,419,20,-1,
5,6,2,1,5,1,139,338,218,19,89.891914,discounted_price
5,6,2,1,5,2,378,338,93,15,96.217850,numeric
5,6,2,1,5,3,488,337,70,16,96.537827,CHECK
2,6,3,0,0,0,135,336,758,49,-1,
3,6,3,1,0,0,135,336,758,49,-1,
4,6,3,1,1,0,577,336,316,23,-1,
5,6,3,1,1,1,577,336,231,23,92.418198,(discounted_price
5,6,3,1,1,2,826,341,14,13,96.395027,>
5,6,3,1,1,3,858,336,35,23,96.395027,0),
4,6,3,1,2,0,135,362,447,23,-1,
5,6,3,1,2,1,135,363,71,16,96.733116,CHECK
5,6,3,1,2,2,224,362,76,23,96.779564,(price
5,6,3,1,2,3,318,367,14,13,93.303360,>
5,6,3,1,2,4,351,362,231,23,88.735542,discounted_price)
2,6,4,0,0,0,79,531,732,65,-1,
3,6,4,1,0,0,79,531,732,65,-1,
4,6,4,1,1,0,80,531,424,27,-1,
5,6,4,1,1,1,80,531,81,21,93.186050,Credit:
5,6,4,1,1,2,180,531,125,27,72.037811,Postgresql
5,6,4,1,1,3,318,531,186,21,96.621452,documentation
4,6,4,1,2,0,79,573,732,23,-1,
5,6,4,1,2,1,79,575,73,21,25.079239,https:
5,6,4,1,2,2,159,573,652,23,25.079239,//www.postgresql.org/docs/9.6/ddl-constraints.html
1,7,0,0,0,0,0,0,1008,756,-1,
2,7,1,0,0,0,142,294,746,119,-1,
3,7,1,1,0,0,142,294,746,119,-1,
4,7,1,1,1,0,142,294,746,27,-1,
5,7,1,1,1,1,142,294,94,21,96.774895,Domain
5,7,1,1,1,2,249,295,123,20,96.274612,constraint
5,7,1,1,1,3,385,294,63,21,96.496605,could
5,7,1,1,1,4,463,294,27,21,96.080940,be
5,7,1,1,1,5,503,294,38,21,96.080940,left
5,7,1,1,1,6,552,298,25,17,96.359283,to
5,7,1,1,1,7,589,294,38,21,96.359283,the
5,7,1,1,1,8,640,294,133,27,96.286926,application
5,7,1,1,1,9,788,301,100,20,96.022552,program
4,7,1,1,2,0,142,340,342,27,-1,
5,7,1,1,2,1,142,340,116,27,96.658424,Duplicate
5,7,1,1,2,2,271,340,63,25,96.978455,code,
5,7,1,1,2,3,348,347,57,14,96.577301,error
5,7,1,1,2,4,418,347,66,20,96.577301,prone
4,7,1,1,3,0,142,386,708,27,-1,
5,7,1,1,3,1,142,386,97,21,96.581360,Possible
5,7,1,1,3,2,250,386,51,21,96.959251,that
5,7,1,1,3,3,313,387,136,20,96.814957,constraints
5,7,1,1,3,4,460,393,50,20,96.957947,vary
5,7,1,1,3,5,522,386,52,21,96.541306,with
5,7,1,1,3,6,586,387,55,20,96.785767,time
5,7,1,1,3,7,653,393,23,14,96.188126,or
5,7,1,1,3,8,688,387,162,20,96.613617,circumstance
2,7,2,0,0,0,142,428,395,60,-1,
3,7,2,1,0,0,142,428,395,60,-1,
4,7,2,1,1,0,142,428,395,27,-1,
5,7,2,1,1,1,142,428,85,21,96.418701,Double
5,7,2,1,1,2,239,428,70,21,96.640442,check
5,7,2,1,1,3,322,435,48,20,96.943871,may
5,7,2,1,1,4,384,428,26,21,95.970390,be
5,7,2,1,1,5,424,428,113,21,96.180511,beneficial
4,7,2,1,2,0,174,468,267,20,-1,
5,7,2,1,2,1,174,477,11,11,72.686783,e
5,7,2,1,2,2,202,468,66,20,95.586952,“front
5,7,2,1,2,3,279,469,50,19,94.230309,end”
5,7,2,1,2,4,342,468,99,20,96.397797,feedback
2,7,3,0,0,0,892,0,116,110,-1,
3,7,3,1,0,0,892,0,116,110,-1,
4,7,3,1,1,0,892,0,116,110,-1,
5,7,3,1,1,1,892,0,116,110,95.000000, 
2,7,4,0,0,0,952,735,37,11,-1,
3,7,4,1,0,0,952,735,37,11,-1,
4,7,4,1,1,0,952,735,37,11,-1,
5,7,4,1,1,1,952,735,37,11,69.812576,8/24
1,8,0,0,0,0,0,0,1008,756,-1,
2,8,1,0,0,0,111,198,182,27,-1,
3,8,1,1,0,0,111,198,182,27,-1,
4,8,1,1,1,0,111,198,182,27,-1,
5,8,1,1,1,1,111,206,13,13,62.743713,e@
5,8,1,1,1,2,142,198,100,27,96.709015,Multiple
5,8,1,1,1,3,256,205,37,14,96.404251,use
2,8,2,0,0,0,79,266,490,102,-1,
3,8,2,1,0,0,79,266,490,102,-1,
4,8,2,1,1,0,79,266,490,23,-1,
5,8,2,1,1,1,79,267,84,16,96.022278,CREATE
5,8,2,1,1,2,177,267,85,17,95.520660,DOMAIN
5,8,2,1,1,3,279,273,52,10,93.186142,name
5,8,2,1,1,4,353,266,4,23,90.467575,[
5,8,2,1,1,5,375,267,27,17,93.156151,AS
5,8,2,1,1,6,421,266,5,23,79.526390,]
5,8,2,1,1,7,449,268,120,20,90.902756,data_type
4,8,2,1,2,0,141,293,285,23,-1,
5,8,2,1,2,1,141,293,4,23,92.184311,[
5,8,2,1,2,2,164,294,98,17,96.497330,COLLATE
5,8,2,1,2,3,281,295,117,15,93.063591,collation
5,8,2,1,2,4,421,293,5,23,88.502640,]
4,8,2,1,3,0,141,319,299,23,-1,
5,8,2,1,3,1,141,319,4,23,90.719749,[
5,8,2,1,3,2,164,321,98,16,95.042503,DEFAULT
5,8,2,1,3,3,281,321,131,19,92.008469,expression
5,8,2,1,3,4,435,319,5,23,86.005814,]
4,8,2,1,4,0,141,345,299,23,-1,
5,8,2,1,4,1,141,345,4,23,92.024544,[
5,8,2,1,4,2,168,347,132,15,93.115921,constraint
5,8,2,1,4,3,325,345,4,23,90.680275,[
5,8,2,1,4,4,355,360,26,2,86.048042,...
5,8,2,1,4,5,407,345,5,23,86.048042,]
5,8,2,1,4,6,435,345,5,23,87.735085,]
2,8,3,0,0,0,81,400,274,15,-1,
3,8,3,1,0,0,81,400,274,15,-1,
4,8,3,1,1,0,81,400,274,15,-1,
5,8,3,1,1,1,81,400,66,15,96.798271,where
5,8,3,1,1,2,168,400,132,15,95.822006,constraint
5,8,3,1,1,3,325,400,30,15,96.029182,is:
2,8,4,0,0,0,82,450,558,50,-1,
3,8,4,1,0,0,82,450,558,50,-1,
4,8,4,1,1,0,85,450,411,23,-1,
5,8,4,1,1,1,85,450,4,23,91.048080,[
5,8,4,1,1,2,107,451,141,17,93.287071,CONSTRAINT
5,8,4,1,1,3,266,452,204,19,90.389084,constraint_name
5,8,4,1,1,4,492,450,4,23,90.650261,]
4,8,4,1,2,0,82,477,558,23,-1,
5,8,4,1,2,1,82,477,8,23,91.940346,{
5,8,4,1,2,2,106,478,45,17,96.925156,NOT
5,8,4,1,2,3,164,479,56,16,94.326775,NULL
5,8,4,1,2,4,240,478,2,21,94.326775,|
5,8,4,1,2,5,263,479,55,16,96.840919,NULL
5,8,4,1,2,6,339,478,1,21,96.840919,|
5,8,4,1,2,7,361,478,70,16,96.298576,CHECK
5,8,4,1,2,8,450,477,161,23,93.296486,(expression)
5,8,4,1,2,9,632,477,8,23,90.909477,}
2,8,5,0,0,0,79,584,732,65,-1,
3,8,5,1,0,0,79,584,732,65,-1,
4,8,5,1,1,0,80,584,424,27,-1,
5,8,5,1,1,1,80,584,81,21,93.186050,Credit:
5,8,5,1,1,2,180,584,125,27,72.037811,Postgresql
